Student,Q1_phi,Q2_phi,Q3_phi,Nb correct answers_phi,Q1_human,Q2_human,Q3_human,Q4_human,Nb correct answers_human,Q1_turbo,Q2_turbo,Q3_turbo,Q4_turbo,Nb correct answers_turbo
1,8,4,8,3,9,1,8,9,1,2,1,6,1,2
2,8,7,9,3,9,3,7,10,2,8,5,6,5,3
3,8,9,10,2,10,10,10,10,3,8,5,9,1,1
4,4,5,10,3,8,2,3,4,3,1,2,4,5,3
5,6,2,5,3,8,3,7,10,3,7,3,8,3,1
6,5,2,5,3,10,4,6,10,2,1,1,6,1,1
7,8,6,4,3,8,3,10,4,2,8,6,4,5,3
8,8,6,10,3,10,4,9,10,2,6,3,5,2,0
9,10,10,10,3,10,10,10,10,2,10,9,1,4,1
10,8,7,9,3,9,1,9,8,3,8,1,7,4,1
11,8,10,7,3,10,8,9,10,3,8,5,6,1,2
12,10,10,10,2,10,10,10,5,1,6,8,7,3,1
13,9,7,8,3,9,8,10,5,2,10,7,8,6,1
14,8,1,10,1,10,1,10,10,2,5,7,7,1,0
