Student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
1,3,5,5,5.0,5,5,5,Social Sciences and Arts,Social Sciences and Arts,5,5
2,1,5,5,5.0,4,5,5,Social Sciences and Arts,STEM,4,5
3,1,5,4,5.0,5,5,5,STEM,STEM,3,1
4,1,5,5,5.0,4,4,5,STEM,Social Sciences and Arts,5,3
5,3,4,5,4.0,5,5,5,Languages and Literature,STEM,4,5
6,2,5,4,5.0,4,4,5,STEM,Languages and Literature,5,5
7,1,4,3,5.0,3,2,3,Social Sciences and Arts,Languages and Literature,3,3
8,3,5,5,5.0,5,5,5,STEM,STEM,5,5
9,1,4,4,4.0,5,4,4,Social Sciences and Arts,Languages and Literature,3,5
10,2,5,4,5.0,5,5,5,STEM,STEM,3,5
11,2,5,3,5.0,4,5,5,Social Sciences and Arts,STEM,5,5
12,1,4,5,3.0,3,5,5,Social Sciences and Arts,STEM,4,3
13,4,5,4,5.0,4,5,5,STEM,STEM,3,4
14,2,5,4,5.0,5,5,5,STEM and Social Sciences,STEM,3,3
15,2,5,5,4.0,5,5,5,STEM,Languages and Literature,4,4
